time_steps,avg_cost,max_avg_cost,min_avg_cost,qval_rmse
23400000.0,48.5318,77.25,22.9,
23500000.0,48.2671,84.95,10.25,
23600000.0,53.6776,88.78,29.53,
23700000.0,47.0372,68.26,13.13,
23800000.0,48.7027,79.35,25.94,
23900000.0,46.9671,66.44,17.49,
24000000.0,47.8402,71.0,21.53,
24100000.0,48.1536,99.28,20.31,
24200000.0,49.1093,87.13,4.24,
24300000.0,51.6796,102.27,14.86,
24400000.0,48.5646,80.52,16.06,
24500000.0,46.2716,73.87,23.78,
24600000.0,46.9584,75.84,22.47,
24700000.0,46.8071,67.99,4.81,
24800000.0,50.71100000000001,78.33,26.44,
24900000.0,47.5087,76.28,17.02,
25000000.0,45.4761,72.29,20.08,
25100000.0,47.0719,92.16,23.7,
25200000.0,50.4838,101.41,24.15,
25300000.0,51.1021,105.61,25.11,
25400000.0,48.6097,99.6,27.97,
25500000.0,51.0074,77.02,18.81,
25600000.0,46.9795,77.08,19.4,
25700000.0,45.9831,71.12,21.75,
25800000.0,44.7531,79.2,23.11,
25900000.0,45.3615,69.75,12.4,
26000000.0,48.4187,98.03,25.81,
26100000.0,45.8156,69.62,15.17,
26200000.0,44.1847,69.94,21.41,
26300000.0,43.0689,72.04,17.46,
26400000.0,45.1457,76.71,26.37,
26500000.0,49.7038,76.84,29.72,
26600000.0,46.4698,77.3,26.15,
26700000.0,45.2084,88.86,23.32,
26800000.0,44.751999999999995,76.18,18.39,
26900000.0,48.1993,75.76,19.04,
27000000.0,48.1512,77.73,24.02,
27100000.0,51.2453,88.05,4.42,
27200000.0,44.7309,79.83,24.12,
27300000.0,49.8532,98.8,23.52,
27400000.0,45.3906,86.67,22.8,
27500000.0,48.0407,101.19,18.01,
27600000.0,46.115,78.02,27.74,
27700000.0,46.2795,67.75,19.09,
27800000.0,47.4685,76.12,23.2,
27900000.0,44.8571,85.98,19.61,
28000000.0,47.3744,75.0,18.84,
28100000.0,43.6929,73.75,14.4,
28200000.0,44.0673,73.69,25.18,
28300000.0,48.5414,81.18,19.6,
28400000.0,51.2163,83.62,21.88,
28500000.0,49.3766,101.54,25.44,
28600000.0,47.2619,100.13,24.84,
28700000.0,46.5487,101.85,12.64,
28800000.0,43.8543,101.31,24.59,
28900000.0,44.8759,96.11,16.53,
29000000.0,44.88399999999999,100.32,16.44,
29100000.0,51.0538,103.27,3.01,
29200000.0,43.6577,75.59,22.0,
29300000.0,43.4443,77.16,25.12,
29400000.0,43.592,85.92,25.0,
29500000.0,43.7288,91.6,20.11,
29600000.0,49.181999999999995,100.46,19.48,
29700000.0,45.3009,88.97,22.18,
29800000.0,42.1115,68.83,17.36,
29900000.0,44.3557,98.82,20.14,
30000000.0,44.1627,82.93,20.97,
30100000.0,45.3939,81.13,26.82,
30200000.0,43.8766,93.01,13.08,
30300000.0,44.8029,94.92,16.76,
30400000.0,43.6037,75.64,17.45,
30500000.0,46.5218,88.55,22.54,
30600000.0,42.3843,69.24,25.12,
30700000.0,43.37600000000001,94.75,23.94,
30800000.0,45.4594,71.15,20.83,
30900000.0,45.0597,73.37,20.26,
31000000.0,45.6204,90.46,26.6,
31100000.0,44.5034,77.85,17.65,
31200000.0,43.4595,67.96,14.9,
31300000.0,44.0597,64.0,21.0,
31400000.0,45.0531,70.41,22.16,
31500000.0,46.9113,78.1,24.52,
31600000.0,46.7234,81.87,14.44,
31700000.0,45.5028,69.01,9.14,
31800000.0,47.5658,95.24,22.24,
31900000.0,48.3096,100.98,17.79,
32000000.0,45.8405,82.04,18.38,
32100000.0,45.1213,66.26,26.87,
32200000.0,42.2224,76.8,15.86,
32300000.0,43.9864,64.72,21.7,
32400000.0,47.0594,99.83,23.32,
32500000.0,46.7233,102.14,20.18,
32600000.0,43.2732,68.18,17.53,
32700000.0,46.8335,94.82,23.11,
32800000.0,46.1027,70.81,27.26,
32900000.0,44.2111,62.11,17.12,
33000000.0,42.5937,65.57,21.05,
33100000.0,42.2431,68.42,16.42,
33200000.0,42.9354,64.27,25.53,
33300000.0,41.4676,75.14,9.78,
33400000.0,41.1695,66.04,23.63,
33500000.0,46.9162,70.58,18.07,
33600000.0,45.9078,70.67,21.86,
33700000.0,45.4879,70.86,11.1,
33800000.0,47.3874,67.35,19.99,
33900000.0,44.4241,65.93,20.63,
34000000.0,46.1681,86.49,22.31,
34100000.0,46.4181,71.22,26.52,
34200000.0,49.6832,72.6,21.77,
34300000.0,46.7382,70.49,24.25,
34400000.0,49.3517,73.8,19.23,
34500000.0,42.5305,76.28,14.44,
34600000.0,43.0713,64.46,24.5,
34700000.0,43.6247,69.55,20.61,
34800000.0,45.6084,66.08,23.73,
34900000.0,42.5588,75.66,22.46,
35000000.0,45.70399999999999,67.34,25.54,
35100000.0,42.0924,75.1,21.78,
35200000.0,44.9897,78.25,16.75,
35300000.0,43.9143,67.41,22.92,
35400000.0,45.4727,81.44,20.5,
35500000.0,45.1404,71.01,22.39,
35600000.0,46.0444,78.63,13.76,
35700000.0,45.568999999999996,72.85,23.27,
35800000.0,43.3014,65.87,23.42,
35900000.0,43.1865,61.98,10.61,
36000000.0,40.4345,61.62,15.15,
36100000.0,41.0137,67.23,17.48,
36200000.0,48.206,97.69,26.38,
36300000.0,43.9111,95.61,21.61,
36400000.0,39.6514,77.83,14.23,
36500000.0,40.281,67.26,16.86,
36600000.0,41.1673,80.48,19.75,
36700000.0,38.8965,82.73,14.6,
36800000.0,42.0082,96.19,9.01,
36900000.0,43.4115,70.14,19.3,
37000000.0,45.1403,95.35,20.35,
37100000.0,44.7351,66.8,18.68,
37200000.0,45.3033,62.51,25.13,
37300000.0,43.8973,66.4,20.88,
37400000.0,46.4821,84.47,24.2,
37500000.0,44.7884,72.76,13.51,
37600000.0,44.8582,69.4,24.07,
37700000.0,44.7667,67.33,16.69,
37800000.0,44.5062,64.72,16.63,
37900000.0,42.4918,66.24,12.65,
38000000.0,42.7025,72.75,14.06,
38100000.0,41.9612,61.3,20.76,
38200000.0,43.4345,62.91,26.96,
38300000.0,43.4989,78.24,11.19,
38400000.0,44.4375,80.84,12.11,
38500000.0,41.4119,68.49,19.48,
38600000.0,44.5297,67.08,15.78,
38700000.0,41.0542,73.86,23.21,
